target,model,mae,rmse,r2,spearman
TotalGoals,catboost,1.3130993241175235,1.6760966264371002,0.0032961725143355602,0.1399914365690468
TotalGoals,xgboost,1.3210605382919312,1.657681907809776,0.02507680654525757,0.15138072053196108
TotalGoals,lightgbm,1.328562279816153,1.6689068597458292,0.011828733372365452,0.12901711162127472
TotalGoals,ridge_baseline,1.3499336812437857,1.6914042188935436,-0.01499251867369722,0.10058303473846578
HomeGoals,catboost,0.9505828254763634,1.2843128867398914,-0.0007516305789412314,0.20762647510854845
HomeGoals,lightgbm,0.9774112342564618,1.242812076815112,0.06287924746705731,0.2300337894803554
HomeGoals,xgboost,0.9782580137252808,1.2400851422735397,0.06698721647262573,0.2314748092091959
HomeGoals,ridge_baseline,0.990126877271403,1.2559303222360663,0.042991670955010886,0.21995584075266228
AwayGoals,catboost,0.8302120813824123,1.1318820811964594,0.020616626463159315,0.161990085453
AwayGoals,xgboost,0.8592085242271423,1.1131376475023147,0.05278599262237549,0.20215793558197567
AwayGoals,lightgbm,0.8627711796711319,1.119067929803589,0.04266649774628195,0.20004957311044427
AwayGoals,ridge_baseline,0.8842787335740464,1.1317496194989338,0.02084584326106864,0.1651423670079384
